"Id","State","Suppressed","Clone Type","Left Path","Left Line","Left End Line","Left Length","Left Weight","Right Path","Right Line","Right End Line","Right Length","Right Weight","Justification"
"A00048_CRYPTO_A00048-381:CL39","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/signature_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/extension_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL40","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/signature_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/signature_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL41","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/symmetrickey_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/block_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL42","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/symmetrickey_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/crypto_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL43","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/symmetrickey_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/digest_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL44","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/symmetrickey_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/extension_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL45","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/symmetrickey_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/signature_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL46","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/hash_function_container.h","1","64","64","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/key_derivation_function_container.h","1","65","65","60",""
"A00048_CRYPTO_A00048-381:CL47","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/hash_function_container.h","1","64","64","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/signer_private_container.h","1","64","64","60",""
"A00048_CRYPTO_A00048-381:CL48","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/hash_function_container.h","1","64","64","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/x509/x509_data_storage/x509dn_container.h","1","64","64","60",""
